symbol,side,funding,orderLinkId,orderId,fee,change,cashFlow,transactionTime,type,feeRate,bonusChange,size,qty,cashBalance,currency,id,category,tradePrice,tradeId
ETHUSDT,Buy,0,,63b1c16e-298e-4bae-8b92-2d3ef35eda85,0.77383845,62.38816155,63.162,1694488380769,TRADE,0.00055,0,0,0.9,1568.67093096,USDT,101009209_ETHUSDT_825404960190,linear,1563.31,97778fc4-5e98-561f-9070-add594f1f08e
ETHUSDT,Sell,-0.07259608,,34e63254-5a02-451a-8550-746c371cdfef,0,-0.07259608,0,1694476800000,SETTLEMENT,0.000053,0,-0.9,0.9,1506.28276941,USDT,101009209_ETHUSDT_825273420940,linear,1550.9,dc0c9eaf-aebf-4547-8813-8fcdf1a26ca2
ETHUSDT,Sell,-0.05725873,,970d996c-2756-4c87-89c9-fa35d8605043,0,-0.05725873,0,1694448000000,SETTLEMENT,0.000041,0,-0.9,0.9,1506.35536549,USDT,101009209_ETHUSDT_824898515420,linear,1561.63,e681da7c-2465-4e24-bece-8cee4ce2b17b
ETHUSDT,Sell,-0.0286527,,f2c7a43a-9ade-4a85-8be0-c8ffb1967e75,0,-0.0286527,0,1694419200000,SETTLEMENT,0.00002,0,-0.9,0.9,1506.41262422,USDT,101009209_ETHUSDT_824340414690,linear,1611.15,503b7051-3fc4-4226-89d5-962692f8d8dd
ETHUSDT,Sell,0.05999394,,c8f0d12c-8bd8-4234-b8a8-da588efa6779,0,0.05999394,0,1694390400000,SETTLEMENT,-0.000042,0,-0.9,0.9,1506.44127692,USDT,101009209_ETHUSDT_824007827270,linear,1616.39,9fa8c818-21d7-4b2c-b70d-060d13397b1e
ETHUSDT,Sell,-0.01441019,,2b49a157-460b-4e6e-badc-e32b2182d1e9,0,-0.01441019,0,1694361600000,SETTLEMENT,0.00001,0,-0.9,0.9,1506.38128298,USDT,101009209_ETHUSDT_823626566910,linear,1618.94,39585943-205d-44eb-9fa0-6e6c0b03cd7a
ETHUSDT,Sell,0.01552354,,846efe09-f623-49e4-a1d6-fff26be829bd,0,0.01552354,0,1694332800000,SETTLEMENT,-0.000011,0,-0.9,0.9,1506.39569317,USDT,101009209_ETHUSDT_823297889930,linear,1624.14,39e367f7-6ef3-4175-a2d3-ce056d1016bd
ETHUSDT,Sell,0.05537439,,c04516e7-8e4f-4ba4-8f60-a02a2ad041de,0,0.05537439,0,1694304000000,SETTLEMENT,-0.000038,0,-0.9,0.9,1506.38016963,USDT,101009209_ETHUSDT_822992128020,linear,1634.62,6a9424f2-f596-4f18-92ff-b5592e836615
ETHUSDT,Sell,0.062728,,124933db-fa4c-4f13-b493-d7d89367a280,0,0.062728,0,1694275200000,SETTLEMENT,-0.000043,0,-0.9,0.9,1506.32479524,USDT,101009209_ETHUSDT_822720808140,linear,1634.18,9f75a41e-db83-4d47-9447-9b5cc202487a
ETHUSDT,Sell,0.05751755,,dcca4d1b-7f63-41b4-be08-9ae66b1d73ab,0,0.05751755,0,1694246400000,SETTLEMENT,-0.00004,0,-0.9,0.9,1506.26206724,USDT,101009209_ETHUSDT_822407154000,linear,1633.65,65de8d01-f063-40b0-a603-e0bc3ce6520f
ETHUSDT,Sell,0,,19f36430-990a-4f03-be12-544e1574c6be,0.20663649,-0.20663649,0,1694238301615,TRADE,0.00055,0,-0.9,0.23,1506.20454969,USDT,101009209_ETHUSDT_822333978743,linear,1633.49,1a5ccd66-cf35-5ac8-a77e-93d3c3040273
ETHUSDT,Sell,0,,19f36430-990a-4f03-be12-544e1574c6be,0.28749424,-0.28749424,0,1694238301615,TRADE,0.00055,0,-0.67,0.32,1506.41118618,USDT,101009209_ETHUSDT_822333978742,linear,1633.49,c98d7312-2e66-544c-9c87-d7e2686cb826
ETHUSDT,Sell,0,,19f36430-990a-4f03-be12-544e1574c6be,0.27851005,-0.27851005,0,1694238301615,TRADE,0.00055,0,-0.35,0.31,1506.69868042,USDT,101009209_ETHUSDT_822333978741,linear,1633.49,9722eb09-fce8-5636-a4a4-71de49b4ec63
ETHUSDT,Sell,0,,19f36430-990a-4f03-be12-544e1574c6be,0.03593678,-0.03593678,0,1694238301615,TRADE,0.00055,0,-0.04,0.04,1506.97719047,USDT,101009209_ETHUSDT_822333978740,linear,1633.49,bab0f146-17ea-55fe-af51-e939ff99701c
ETHUSDT,Buy,0,,70271e0c-9de3-4cd2-b4df-2d2ba6cb82d2,0.431376,-0.772176,-0.3408,1694237701497,TRADE,0.00055,0,0,0.48,1507.01312725,USDT,101009209_ETHUSDT_822327982051,linear,1634,acfe2ff3-7234-5717-afac-d96472123397
ETHUSDT,Buy,0,,70271e0c-9de3-4cd2-b4df-2d2ba6cb82d2,0.377454,-0.675654,-0.2982,1694237701497,TRADE,0.00055,0,-0.48,0.42,1507.78530325,USDT,101009209_ETHUSDT_822327982050,linear,1634,a168dbcc-70b3-5e0b-8304-9f965f178398
ETHUSDT,Sell,0,,b424fd37-fc90-48a1-832d-d636f90ec429,0.80847855,-0.80847855,0,1694232301370,TRADE,0.00055,0,-0.9,0.9,1508.46095725,USDT,101009209_ETHUSDT_822274231760,linear,1633.29,1bb874fe-1512-530b-a7bd-09ab5e9ed482
ETHUSDT,Buy,0,,90361c9a-320e-40c6-a664-26332864a64c,0.74638663,-8.73098663,-7.9846,1694205602341,TRADE,0.00055,0,0,0.83,1509.2694358,USDT,101009209_ETHUSDT_822036603911,linear,1635.02,08c9fde9-a9de-5fa2-9a14-8fc327262f41
ETHUSDT,Buy,0,,90361c9a-320e-40c6-a664-26332864a64c,0.0899261,-1.0519261,-0.962,1694205602341,TRADE,0.00055,0,-0.83,0.1,1518.00042243,USDT,101009209_ETHUSDT_822036603910,linear,1635.02,581bbd7e-4269-587e-bf4d-146d17143dfa
ETHUSDT,Sell,-0.01684961,,779905aa-c8f5-4c1d-ac0e-a187cb1359dd,0,-0.01684961,0,1694188800000,SETTLEMENT,0.000012,0,-0.93,0.93,1519.05234853,USDT,101009209_ETHUSDT_821860568920,linear,1627.84,02d14cae-ca33-424c-ab93-c9b03a016b60
